"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 -"
"NIFTY 500","23,449.75","23,456.00","23,306.40","23,378.45","23,320.90","-","-57.55","-0.25","2,03,18,12,918","80,148.04","24,573.40","19,519.85","1.46","2.30"
"ETERNAL","293.00","311.25","289.65","271.70","299.75","-","28.05","10.32","26,93,32,774","8,110.69","311.25","194.80","7.25","-"
"RHIM","485.90","525.90","483.70","482.50","519.00","-","36.50","7.56","1,08,75,414","560.83","672.00","376.45","-1.21","-17.62"
"INDIACEM","346.00","375.00","345.30","343.45","366.60","-","23.15","6.74","56,08,773","203.18","385.00","238.85","12.18","-1.04"
"SWIGGY","405.00","426.30","403.75","394.75","418.00","-","23.25","5.89","8,22,73,537","3,407.85","617.30","297.00","1.35","-"
"GMDCLTD","434.00","468.00","430.45","435.85","459.00","-","23.15","5.31","2,56,08,194","1,168.73","468.00","226.59","11.81","9.63"
"EMCURE","1,356.00","1,425.70","1,356.00","1,357.90","1,425.70","-","67.80","4.99","5,23,678","74.22","1,580.00","889.00","3.47","0.48"
"NLCINDIA","231.25","244.80","229.83","230.10","241.20","-","11.10","4.82","80,83,338","194.73","301.45","186.03","3.35","-14.73"
"NAUKRI","1,404.00","1,467.50","1,404.00","1,399.80","1,461.00","-","61.20","4.37","40,76,845","593.26","1,825.78","1,157.00","-7.00","-79.50"
"POWERINDIA","19,380.00","20,150.00","19,275.00","19,260.00","20,095.00","-","835.00","4.34","1,75,697","349.90","20,699.00","8,801.00","3.08","72.11"
"ANGELONE","2,740.00","2,852.00","2,730.00","2,706.30","2,815.50","-","109.20","4.04","34,33,443","961.25","3,503.15","1,941.00","-4.29","29.68"
"MRPL","141.00","146.95","141.00","139.15","144.65","-","5.50","3.95","1,10,41,192","158.89","224.90","98.92","3.04","-35.61"
"NH","1,924.90","1,992.00","1,924.40","1,915.80","1,989.00","-","73.20","3.82","5,67,165","111.84","2,370.20","1,171.00","0.65","54.20"
"RAMCOCEM","1,149.60","1,196.00","1,149.20","1,149.60","1,191.30","-","41.70","3.63","11,67,477","138.22","1,196.00","765.00","13.59","47.80"
"PAYTM","1,022.00","1,060.00","1,021.00","1,017.70","1,053.10","-","35.40","3.48","87,21,904","912.26","1,062.95","437.25","16.82","121.84"
"3MINDIA","30,215.00","31,950.00","30,215.00","30,210.00","31,200.00","-","990.00","3.28","22,307","69.59","40,642.95","25,718.15","6.04","-19.47"
"LATENTVIEW","443.00","467.00","436.60","432.45","446.30","-","13.85","3.20","49,17,627","222.63","552.95","341.20","7.53","-17.00"
"HAVELLS","1,555.00","1,583.60","1,515.10","1,531.60","1,579.00","-","47.40","3.09","50,86,878","788.27","2,106.00","1,381.30","-0.12","-13.40"
"SBFC","114.59","118.59","114.57","114.59","118.10","-","3.51","3.06","27,26,170","31.95","120.50","77.61","11.20","41.26"
"DATAPATTNS","2,728.20","2,814.90","2,726.20","2,728.20","2,810.20","-","82.00","3.01","2,31,821","64.60","3,440.95","1,351.15","-7.76","-13.85"
"ENGINERSIN","236.80","243.27","236.01","235.04","241.64","-","6.60","2.81","35,46,667","85.39","273.40","142.20","6.27","-10.24"
"SHREECEM","31,535.00","32,490.00","31,500.00","31,535.00","32,400.00","-","865.00","2.74","59,832","192.40","32,490.00","23,500.00","9.21","15.58"
"TBOTEK","1,400.00","1,453.30","1,400.00","1,387.10","1,424.20","-","37.10","2.67","1,54,968","22.13","2,001.00","996.00","10.03","-19.95"
"TATACHEM","945.00","966.00","935.00","940.40","965.00","-","24.60","2.62","11,69,600","111.83","1,247.35","756.00","2.91","-9.94"
